Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;30,6251;223945;23805;24511;48316;-1,445;3,14838;3;0;
01;Østfold;;;;;SV;SV - Sosialistisk Venstreparti;5,8815;223945;4968;4311;9279;1,518;1,67984;1;1;
01;Østfold;;;;;RØDT;Rødt;4,52632;223945;3986;3155;7141;2,38459;0,34596;0;0;
01;Østfold;;;;;SP;Senterpartiet;14,20775;223945;9653;12762;22415;5,54647;-3,08297;2;0;
01;Østfold;;;;;KRF;Kristelig Folkeparti;3,34736;223945;2449;2832;5281;-0,85739;-0,23142;0;0;
01;Østfold;;;;;MDG;Miljøpartiet De Grønne;2,85803;223945;2703;1806;4509;0,2765;-3,13577;0;0;
01;Østfold;;;;;V;Venstre;2,81176;223945;2074;2362;4436;0,40393;0,92657;0;0;
01;Østfold;;;;;H;Høyre;18,74612;223945;14969;14606;29575;-5,08494;0,94448;2;0;
01;Østfold;;;;;FRP;Fremskrittspartiet;12,7911;223945;8990;11190;20180;-4,74747;3,88476;1;0;
01;Østfold;;;;;AAN;Alliansen - Alternativ for Norge;0,10649;223945;74;94;168;0,10649;0,10649;0;0;
01;Østfold;;;;;DEMN;Demokratene;1,47117;223945;1225;1096;2321;1,34886;1,24488;0;0;
01;Østfold;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,17684;223945;138;141;279;0,17684;-3,89945;0;0;
01;Østfold;;;;;HELSE;Helsepartiet;0,24593;223945;203;185;388;-0,25892;-0,21689;0;0;
01;Østfold;;;;;INP;Industri- og Næringspartiet;0,14008;223945;106;115;221;0,14008;0,14008;0;0;
01;Østfold;;;;;KRISTNE;Partiet De Kristne;0,42785;223945;350;325;675;0,10646;-0,21474;0;0;
01;Østfold;;;;;LIBS;Liberalistene;0,15973;223945;108;144;252;-0,06147;-0,11071;0;0;
01;Østfold;;;;;PIR;Piratpartiet;0,09191;223945;63;82;145;0,09191;-0,1533;0;0;
01;Østfold;;;;;PP;Pensjonistpartiet;1,17769;223945;1136;722;1858;0,33713;-0,87622;0;0;
01;Østfold;;;;;PS;Partiet Sentrum;0,20727;223945;165;162;327;0,20727;0,20727;0;0;
01;Østfold;;;;;BLANKE;Blanke;0,87154;223945;530;845;1375;-0,06595;-1,49223;0;0;
02;Akershus;;;;;A;Arbeiderpartiet;25,96576;471106;52033;39851;91884;-0,36681;3,37174;5;0;
02;Akershus;;;;;SV;SV - Sosialistisk Venstreparti;6,58159;471106;14024;9266;23290;1,34786;1,77092;1;0;
02;Akershus;;;;;RØDT;Rødt;3,86502;471106;8289;5388;13677;1,93557;0,79169;1;0;
02;Akershus;;;;;SP;Senterpartiet;8,86352;471106;16337;15028;31365;2,96249;-0,66524;2;0;
02;Akershus;;;;;KRF;Kristelig Folkeparti;2,05699;471106;4113;3166;7279;-0,31186;-0,21686;0;0;
02;Akershus;;;;;MDG;Miljøpartiet De Grønne;4,55257;471106;11054;5056;16110;0,91308;-4,26224;1;0;
02;Akershus;;;;;V;Venstre;6,63952;471106;13364;10131;23495;0,24812;1,72059;2;1;
02;Akershus;;;;;H;Høyre;27,71303;471106;61056;37011;98067;-3,34167;-0,8454;5;0;
02;Akershus;;;;;FRP;Fremskrittspartiet;10,56445;471106;19867;17517;37384;-4,72366;1,92645;2;0;
02;Akershus;;;;;AAN;Alliansen - Alternativ for Norge;0,08365;471106;133;163;296;0,08365;0,08365;0;0;
02;Akershus;;;;;DEMN;Demokratene;1,09816;471106;2307;1579;3886;1,01662;0,85344;0;0;
02;Akershus;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,17182;471106;270;338;608;0,17182;-3,00017;0;0;
02;Akershus;;;;;HELSE;Helsepartiet;0,31566;471106;619;498;1117;-0,28654;-0,19299;0;0;
02;Akershus;;;;;INP;Industri- og Næringspartiet;0,13254;471106;267;202;469;0,13254;0,13254;0;0;
02;Akershus;;;;;KRISTNE;Partiet De Kristne;0,19386;471106;395;291;686;0,06617;-0,08449;0;0;
02;Akershus;;;;;LIBS;Liberalistene;0,16814;471106;306;289;595;-0,01334;-0,08522;0;0;
02;Akershus;;;;;PIR;Piratpartiet;0,08986;471106;135;183;318;-0,06698;-0,14204;0;0;
02;Akershus;;;;;PP;Pensjonistpartiet;0,63668;471106;1559;694;2253;0,0846;-0,93858;0;0;
02;Akershus;;;;;PS;Partiet Sentrum;0,25886;471106;517;399;916;0,25886;0,25886;0;0;
02;Akershus;;;;;BLANKE;Blanke;0,62312;471106;1004;1201;2205;0,06962;-0,79648;0;0;
02;Akershus;;;;;GENE;Generasjonspartiet;0,04832;471106;130;41;171;0,04832;0,04832;0;0;
03;Oslo;;;;;A;Arbeiderpartiet;23,03733;485656;49021;36236;85257;-5,317;3,0295;4;0;
03;Oslo;;;;;SV;SV - Sosialistisk Venstreparti;13,28922;485656;31614;17567;49181;4,0133;4,18908;3;0;
03;Oslo;;;;;RØDT;Rødt;8,27735;485656;19611;11022;30633;1,98944;1,08054;2;0;
03;Oslo;;;;;SP;Senterpartiet;3,1112;485656;6668;4846;11514;0,99244;0,92769;0;0;
03;Oslo;;;;;KRF;Kristelig Folkeparti;1,80987;485656;4007;2691;6698;-0,3266;0,07346;0;0;
03;Oslo;;;;;MDG;Miljøpartiet De Grønne;8,45407;485656;21243;10044;31287;2,50121;-6,8064;2;0;
03;Oslo;;;;;V;Venstre;9,99373;485656;20769;16216;36985;1,56744;4,21756;3;1;
03;Oslo;;;;;H;Høyre;23,56262;485656;53566;33635;87201;-2,88378;-1,83858;5;0;
03;Oslo;;;;;FRP;Fremskrittspartiet;5,99894;485656;13033;9168;22201;-3,5453;0,72569;1;0;
03;Oslo;;;;;AAN;Alliansen - Alternativ for Norge;0,06053;485656;130;94;224;0,06053;0,06053;0;0;
03;Oslo;;;;;DEMN;Demokratene;0,68228;485656;1621;904;2525;0,59348;0,41741;0;0;
03;Oslo;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,28534;485656;598;458;1056;0,28534;-5,5554;0;0;
03;Oslo;;;;;HELSE;Helsepartiet;0,15591;485656;363;214;577;-0,16662;-0,07639;0;0;
03;Oslo;;;;;INP;Industri- og Næringspartiet;0,06188;485656;130;99;229;0,06188;0,06188;0;0;
03;Oslo;;;;;KRISTNE;Partiet De Kristne;0,12511;485656;278;185;463;0,03167;-0,04208;0;0;
03;Oslo;;;;;KYST;Kystpartiet;0,01729;485656;37;27;64;0,01729;-0,02621;0;0;
03;Oslo;;;;;LIBS;Liberalistene;0,1751;485656;375;273;648;-0,0066;-0,04709;0;0;
03;Oslo;;;;;NKP;Norges Kommunistiske Parti;0,0327;485656;84;37;121;0,00028;-0,03981;0;0;
03;Oslo;;;;;PIR;Piratpartiet;0,10079;485656;209;164;373;-0,07083;-0,08883;0;0;
03;Oslo;;;;;PP;Pensjonistpartiet;0,33371;485656;841;394;1235;-0,02995;-0,27346;0;0;
03;Oslo;;;;;PS;Partiet Sentrum;0,36073;485656;682;653;1335;0,36073;0,36073;0;0;
03;Oslo;;;;;BLANKE;Blanke;0,43639;485656;780;835;1615;-0,03405;-0,08951;0;0;
03;Oslo;;;;;FI;Feministisk Initiativ;0,07431;485656;214;61;275;-0,0145;-0,08412;0;0;
04;Hedmark;;;;;A;Arbeiderpartiet;33,30533;152228;19869;17392;37261;-2,27968;-1,44187;3;0;
04;Hedmark;;;;;SV;SV - Sosialistisk Venstreparti;6,65463;152228;4234;3211;7445;0,95026;1,11514;0;0;
04;Hedmark;;;;;RØDT;Rødt;3,30631;152228;2166;1533;3699;2,03848;0,78168;0;0;
04;Hedmark;;;;;SP;Senterpartiet;28,24977;152228;14636;16969;31605;6,06797;0,85844;2;0;
04;Hedmark;;;;;KRF;Kristelig Folkeparti;1,61964;152228;902;910;1812;-0,18411;-0,26;0;0;
04;Hedmark;;;;;MDG;Miljøpartiet De Grønne;1,94767;152228;1460;719;2179;0,00178;-2,56728;0;0;
04;Hedmark;;;;;V;Venstre;2,17918;152228;1234;1204;2438;-0,14018;0,03071;0;0;
04;Hedmark;;;;;H;Høyre;10,59467;152228;6320;5533;11853;-4,77561;-0,05846;1;0;
04;Hedmark;;;;;FRP;Fremskrittspartiet;8,49415;152228;4212;5291;9503;-3,15298;2,53332;1;1;
04;Hedmark;;;;;AAN;Alliansen - Alternativ for Norge;0,0867;152228;53;44;97;0,0867;0,0867;0;0;
04;Hedmark;;;;;DEMN;Demokratene;1,1897;152228;741;590;1331;1,02283;0,99654;0;0;
04;Hedmark;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,07151;152228;29;51;80;0,07151;0,07151;0;0;
04;Hedmark;;;;;HELSE;Helsepartiet;0,25832;152228;146;143;289;-0,05069;-0,08169;0;0;
04;Hedmark;;;;;INP;Industri- og Næringspartiet;0,15195;152228;74;96;170;0,15195;0,15195;0;0;
04;Hedmark;;;;;KRISTNE;Partiet De Kristne;0,1886;152228;98;113;211;0,04292;-0,14576;0;0;
04;Hedmark;;;;;LIBS;Liberalistene;0,11531;152228;64;65;129;-0,02949;-0,11287;0;0;
04;Hedmark;;;;;PP;Pensjonistpartiet;1,31484;152228;970;501;1471;0,18209;-2,2298;0;0;
04;Hedmark;;;;;PS;Partiet Sentrum;0,18502;152228;105;102;207;0,18502;0,18502;0;0;
04;Hedmark;;;;;BLANKE;Blanke;0,65429;152228;296;436;732;-0,09617;-1,81724;0;0;
04;Hedmark;;;;;RN;Redd Naturen;0,0867;152228;42;55;97;0,0867;0,0867;0;0;
05;Oppland;;;;;A;Arbeiderpartiet;35,20935;132383;17506;16064;33570;-0,0127;1,81408;2;0;
05;Oppland;;;;;SV;SV - Sosialistisk Venstreparti;5,3092;132383;3011;2051;5062;0,68781;1,0539;0;0;
05;Oppland;;;;;RØDT;Rødt;3,70238;132383;2212;1318;3530;2,06319;0,5785;0;0;
05;Oppland;;;;;SP;Senterpartiet;26,15057;132383;11537;13396;24933;4,14485;-3,93118;2;0;
05;Oppland;;;;;KRF;Kristelig Folkeparti;1,56696;132383;791;703;1494;-0,53266;-0,25253;0;0;
05;Oppland;;;;;MDG;Miljøpartiet De Grønne;2,1606;132383;1380;680;2060;-0,19191;-2,62388;0;0;
05;Oppland;;;;;V;Venstre;2,28331;132383;1127;1050;2177;-0,23946;0,29341;0;0;
05;Oppland;;;;;H;Høyre;12,47588;132383;6293;5602;11895;-3,8244;-0,37585;1;0;
05;Oppland;;;;;FRP;Fremskrittspartiet;8,63715;132383;3574;4661;8235;-3,20798;3,52849;1;1;
05;Oppland;;;;;AAN;Alliansen - Alternativ for Norge;0,08286;132383;41;38;79;0,08286;0,08286;0;0;
05;Oppland;;;;;DEMN;Demokratene;0,945;132383;469;432;901;0,8241;0,70795;0;0;
05;Oppland;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,06817;132383;33;32;65;0,06817;0,06817;0;0;
05;Oppland;;;;;HELSE;Helsepartiet;0,18669;132383;96;82;178;-0,21026;-0,14517;0;0;
05;Oppland;;;;;INP;Industri- og Næringspartiet;0,1311;132383;70;55;125;0,1311;0,1311;0;0;
05;Oppland;;;;;KRISTNE;Partiet De Kristne;0,21396;132383;107;97;204;0,05176;-0,18325;0;0;
05;Oppland;;;;;LIBS;Liberalistene;0,08915;132383;41;44;85;-0,04182;-0,14149;0;0;
05;Oppland;;;;;PIR;Piratpartiet;0,06293;132383;32;28;60;0,06293;0,06293;0;0;
05;Oppland;;;;;PP;Pensjonistpartiet;0,54749;132383;324;198;522;0,12535;-0,84531;0;0;
05;Oppland;;;;;PS;Partiet Sentrum;0,17725;132383;94;75;169;0,17725;0,17725;0;0;
05;Oppland;;;;;BLANKE;Blanke;0,57161;132383;226;319;545;-0,07621;-1,29656;0;0;
06;Buskerud;;;;;A;Arbeiderpartiet;28,52186;191637;24236;15305;39541;-0,38467;3,44399;3;0;
06;Buskerud;;;;;SV;SV - Sosialistisk Venstreparti;5,49;191637;5020;2591;7611;0,5908;1,22624;1;1;
06;Buskerud;;;;;RØDT;Rødt;3,39743;191637;3143;1567;4710;1,97432;1,14641;0;0;
06;Buskerud;;;;;SP;Senterpartiet;16,23267;191637;12131;10373;22504;4,86035;-2,52361;1;0;
06;Buskerud;;;;;KRF;Kristelig Folkeparti;2,32338;191637;1912;1309;3221;-0,28331;0,02725;0;0;
06;Buskerud;;;;;MDG;Miljøpartiet De Grønne;2,87375;191637;2798;1186;3984;0,33433;-3,0887;0;0;
06;Buskerud;;;;;V;Venstre;3,48183;191637;2778;2049;4827;0,12477;1,36527;0;0;
06;Buskerud;;;;;H;Høyre;22,11795;191637;18924;11739;30663;-4,20924;-1,58462;2;0;
06;Buskerud;;;;;FRP;Fremskrittspartiet;12,3231;191637;9233;7851;17084;-4,91614;3,43133;1;0;
06;Buskerud;;;;;AAN;Alliansen - Alternativ for Norge;0,09882;191637;88;49;137;0,09882;0,09882;0;0;
06;Buskerud;;;;;DEMN;Demokratene;1,3936;191637;1195;737;1932;1,26127;1,15105;0;0;
06;Buskerud;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,08944;191637;62;62;124;0,08944;-3,50709;0;0;
06;Buskerud;;;;;HELSE;Helsepartiet;0,2943;191637;240;168;408;-0,29195;-0,24782;0;0;
06;Buskerud;;;;;INP;Industri- og Næringspartiet;0,19404;191637;161;108;269;0,19404;0,19404;0;0;
06;Buskerud;;;;;KRISTNE;Partiet De Kristne;0,22866;191637;199;118;317;0,04014;-0,13304;0;0;
06;Buskerud;;;;;LIBS;Liberalistene;0,16735;191637;135;97;232;-0,03448;-0,09393;0;0;
06;Buskerud;;;;;PIR;Piratpartiet;0,08656;191637;59;61;120;0,0836;-0,08706;0;0;
06;Buskerud;;;;;PP;Pensjonistpartiet;0,37437;191637;378;141;519;0,36032;-0,40605;0;0;
